Rame,oprema,vsa oprema seznam,Manjkajoča oprema
Assisted Dips,dips machine,,
Barbell Bench Press,bench press,,
Cable Chest Fly Unilateral,Cable,,
Cable Chest Fly,Cable,,
Decline Bench Press (Barbell),decline bench press,,
Dumbbell Bench Press,dumbbells and bench,,
Dumbbell Chest Fly,dumbbells and bench,,
Fly Machine,chest fly machine,,
Incline Bench Press (Barbell),incline bench press,,
Incline Chest Press Machine,incline chest machine,,
Push-Ups,body weight,,
Dumbbell Decline Bench Press,dumbbells and decline bench,,
Dumbbell Incline Benchh Press,dumbbells and bench,,
Dumbbell Neutral Grip Bench Press,dumbbells and bench,,
,,,
Hrbet,,,
Dumbbell Bent-Over Reverse Fly,dumbbells,,
Dumbbell Prone Reverse Fly,dumbbells and bench,,
TRX Rows,Suspension trainer,,
Unilateral Dumbbell Upright Row,dumbbells,,
Upright Row (Barbell),barbell,,
Wide Grip T-Bar Cable Row,Cable,,
Assisted Pull-Ups,pull up machine,,
Bent-Over Row (Barbell),barbell,,
Cable Face Pull Down,Cable,,
Cable Lat Pulldown Neutral Grip,Cable,,
Cable Lat Pulldown Underhand,Cable,,
Cable Lat Pulldown Unilateral,Cable,,
Cable Lat Pulldown,Cable,,
Cable Row Neutral,Cable,,
Cable Row Unilateral,Cable,,
Cable Row,Cable,,
Face Pull (Cable),Cable,,
Gorilla Row (Kettlebell or Dumbbell),kettlebell or dumbbell,,
Pendlay Row (Barbell),barbell,,
Pull-Ups,pull up bar,,
Dumbbell Bent-Over Row,dumbbells,,
Dumbbell Prone Row Alternating,barbell and bench,,
Dumbbell Prone Row,barbell and bench,,
Dumbbell Unilateral Row,dumbbells,,
Assisted Chin-Ups,pull up machine,,
Cable Pullover,Cable,,
Chin-Ups,pull up bar,,
Prone Angels,body weight,,
Banded Horizontal Abduction,resistance band,,
,,,
Noge,,,
Glute Bridge Unilateral,body weight,,
Hamstring Bridge Unilateral,body weight,,
Knee Extension Unilateral,knee extension machine,,
Knee Flexion Unilateral,knee flexion machine,,
Romanian Deadlift (Barbell),barbell,,
Side-Lying Hip Abduction (Banded),resistance band,,
Side-Lying Hip Abduction,body weight,,
Smith Machine Split Squat,smith machine,,
Smith Machine Squat,smith machine,,
Split Squat with Impulse (Dumbbell),dumbbells,,
Standing Calf Raise Machine,calf raise machine,,
Standing Hip Extension Cable,Cable,,
Walking Lunges with Impulse (Dumbbell),dumbbells,,
Zercher Squat,squat rack,,
Banded Squats,resistance band,,
Barbell Front Squat,squat rack,,
Barbell Split Squat,squat rack,,
Barbell Squat,squat rack,,
Glute Bridge Isometric Hold (Timed),body weight,,
Glute Bridge March,body weight,,
Glute Bridge,body weight,,
Goblet Squat with Impulse,dumbbells,,
Hack Squat Machine,hack squat machine,,
Hamstring Bridge Isometric Hold (Timed),body weight,,
Hamstring Bridge,body weight,,
Hanging Leg Raises,pull up bar,,
Hip Abduction (Cable),Cable,,
Hip Adduction (Cable),Cable,,
Leg Press,leg press machine,,
Leg Raises,body weight,,
Prisoner Squats,body weight,,
Quadruped Kickback Cable,Cable,,
Seated Calf Raise Machine,seated calf raise machine,,
Dumbbel Box Step-Up,dumbbells and bench,,
Dumbbell Bulgarian Split Squat,dumbbells and bench,,
Dumbbell Goblet Squat,dumbbells,,
Dumbbell Hip Thrust,dumbbells and bench,,
Dumbbell Split Squat,dumbbells,,
Dumbbell Walking Lunges,dumbbells,,
Side-Lying Clamshells,resistance band,,
Split Stance RDL (Dumbbell),dumbbells,,
Standing Clamshells,resistance band,,
Wall Sits (Timed),body weight,,
Isometric Hold (Timed),body weight,,
Knee Extension Machine,knee extension machine,,
Knee Flexion Machine,knee flexion machine,,
Psoas March,body weight,,
Dumbbell Box Step-Down,dumbbells and bench,,
Stiff-Leg Deadlift (Barbell),barbell,,
Trap Bar Deadlift,trap bar,,
Back Extension,back extension machine,,
Barbell Deadlift,barbell,,
,,,
jedro,,,
Side Plank (Timed),body weight,,
Sit-Ups,body weight,,
Swiss Ball Crunches,swiss ball,,
Cable Crunches,Cable,,
Copenhagen Plank (Timed),bench,,
Crunches,body weight,,
Plank (Timed),body weight,,
Russian Twist,body weight,,
Landmine Oblique Twist,barbell,,
Landmine Anti-Rotations,barbell,,
Standing Cable Torso Rotations,Cable,,
Superman,body weight,,
Alternating Superman,body weight,,
Kneeling Cable Torso Rotations,Cable,,
Kneeling One-Leg Cable Torso Rotations,Cable,,
